100, 0.000003, 0.000002
200, 0.000002, 0.000002
300, 0.000003, 0.000003
400, 0.000003, 0.000002
500, 0.000003, 0.000002
600, 0.000003, 0.000002
700, 0.000003, 0.000004
800, 0.000003, 0.000002
900, 0.000002, 0.000002
1000, 0.000002, 0.000002
1100, 0.000002, 0.000001
1200, 0.000003, 0.000002
1300, 0.000004, 0.000001
1400, 0.000003, 0.000002
1500, 0.000013, 0.000004
1600, 0.000003, 0.000001
1700, 0.000004, 0.000003
1800, 0.000003, 0.000002
1900, 0.000004, 0.000002
2000, 0.000006, 0.000003
2100, 0.000005, 0.000003
2200, 0.000004, 0.000002
2300, 0.000004, 0.000003
2400, 0.000005, 0.000004
2500, 0.000006, 0.000005
2600, 0.000003, 0.000004
2700, 0.000005, 0.000004
2800, 0.000004, 0.000004
2900, 0.000006, 0.000004
3000, 0.000006, 0.000004
3100, 0.000006, 0.000004
3200, 0.000006, 0.000004
3300, 0.000006, 0.000005
3400, 0.000007, 0.000004
3500, 0.000007, 0.000005
3600, 0.000005, 0.000005
3700, 0.000006, 0.000004
3800, 0.000006, 0.000003
3900, 0.000005, 0.000003
4000, 0.000005, 0.000003
4100, 0.000006, 0.000005
4200, 0.000006, 0.000004
4300, 0.000005, 0.000003
4400, 0.000006, 0.000004
4500, 0.000007, 0.000005
4600, 0.000005, 0.000005
4700, 0.000005, 0.000005
4800, 0.000005, 0.000004
4900, 0.000007, 0.000004
5000, 0.000006, 0.000004
5100, 0.000009, 0.000007
5200, 0.000006, 0.000004
5300, 0.000008, 0.000005
5400, 0.000008, 0.000006
5500, 0.000007, 0.000006
5600, 0.000006, 0.000005
5700, 0.000006, 0.000005
5800, 0.000008, 0.000006
5900, 0.000008, 0.000005
6000, 0.000009, 0.000006
6100, 0.000007, 0.000006
6200, 0.000008, 0.000006
6300, 0.000008, 0.000007
6400, 0.000009, 0.000008
6500, 0.000008, 0.000006
6600, 0.000010, 0.000006
6700, 0.000009, 0.000006
6800, 0.000009, 0.000006
6900, 0.000010, 0.000009
7000, 0.000009, 0.000008
7100, 0.000010, 0.000010
7200, 0.000010, 0.000007
7300, 0.000009, 0.000008
7400, 0.000010, 0.000008
7500, 0.000010, 0.000007
7600, 0.000015, 0.000009
7700, 0.000009, 0.000010
7800, 0.000013, 0.000010
